Hospital_Name,Hospital_Ownership,Hospital_Type,State,City,ZIP_Code,Hospital_overall_rating,County_Name,Location,Emergency_Services,Patient_experience_national_comparison
"NEWTON MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",KS,NEWTON,67114,4,HARVEY,"600 MEDICAL CENTER DRIVE
NEWTON, KS
(38.023034, -97.33654)",TRUE,"Above the national average"
"ALLEN PARISH HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",LA,KINDER,70648,"Not Available",ALLEN,"108 6TH AVENUE
KINDER, LA
(30.491453, -92.855648)",TRUE,"Not Available"
"ADVENTIST BOLINGBROOK HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,BOLINGBROOK,60440,2,WILL,"500 REMINGTON BOULEVARD
BOLINGBROOK, IL
(41.679388, -88.083883)",TRUE,"Below the national average"
"ACADIA GENERAL HOSPITAL",Proprietary,"Acute Care Hospitals",LA,CROWLEY,70526,2,ACADIA,"1305 CROWLEY RAYNE HIGHWAY
CROWLEY, LA
(30.226327, -92.362543)",TRUE,"Same as the national average"
"THE MEDICAL CENTER AT BOWLING GREEN","Voluntary non-profit - Private","Acute Care Hospitals",KY,"BOWLING GREEN",42101,3,WARREN,"250 PARK STREET
BOWLING GREEN, KY
(36.996366, -86.430232)",TRUE,"Below the national average"
"BUNKIE GENERAL HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",LA,BUNKIE,71322,"Not Available",AVOYELLES,"427 EVERGREEN STREET
BUNKIE, LA
(30.952426, -92.176647)",TRUE,"Not Available"
"MARENGO MEMORIAL HOSPITAL","Voluntary non-profit - Other","Critical Access Hospitals",IA,MARENGO,52301,"Not Available",IOWA,"300 W MAY ST
MARENGO, IA
(41.801752, -92.072799)",TRUE,"Not Available"
"DOCTORS HOSPITAL LLC",Proprietary,"Acute Care Hospitals",KS,LEAWOOD,66211,"Not Available",JOHNSON,"4901 COLLEGE BLVD
LEAWOOD, KS
(38.927412, -94.6435)",FALSE,"Not Available"
"KANSAS CITY ORTHOPAEDIC INSTITUTE",Physician,"Acute Care Hospitals",KS,LEAWOOD,66211,"Not Available",JOHNSON,"3651 COLLEGE BLVD
LEAWOOD, KS
(38.927549, -94.628235)",FALSE,"Above the national average"
"UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",MD,"BEL AIR",21014,"Not Available",HARFORD,"500 UPPER CHESAPEAKE DRIVE
BEL AIR, MD
(39.519469, -76.348354)",TRUE,"Not Available"
"WESTERN MARYLAND REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",MD,CUMBERLAND,21502,"Not Available",ALLEGANY,"12500 WILLOWBROOK ROAD
CUMBERLAND, MD
(39.650091, -78.732777)",TRUE,"Not Available"
"SARTORI MEMORIAL HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",IA,"CEDAR FALLS",50613,3,"BLACK HAWK","515 COLLEGE STREET
CEDAR FALLS, IA
(42.533922, -92.455969)",TRUE,"Same as the national average"
"ST CATHERINE HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",KS,"GARDEN CITY",67846,3,FINNEY,"401 EAST SPRUCE
GARDEN CITY, KS
(37.968871, -100.868615)",TRUE,"Same as the national average"
"FRANCISCAN HEALTH CRAWFORDSVILLE","Voluntary non-profit - Church","Acute Care Hospitals",IN,CRAWFORDSVILLE,47933,3,MONTGOMERY,"1710 LAFAYETTE RD
CRAWFORDSVILLE, IN
(40.066073, -86.908085)",TRUE,"Same as the national average"
"INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",IN,"HARTFORD CITY",47348,4,BLACKFORD,"410 PILGRIM BLVD
HARTFORD CITY, IN
(40.468905, -85.372027)",TRUE,"Not Available"
"FINLEY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IA,DUBUQUE,52001,3,DUBUQUE,"350 NORTH GRANDVIEW AVENUE
DUBUQUE, IA
(42.495413, -90.687573)",TRUE,"Above the national average"
"BLUE VALLEY HOSPITAL, INC",Proprietary,"Acute Care Hospitals",KS,"OVERLAND PARK",66213,"Not Available",JOHNSON,"12850 METCALF AVENUE
OVERLAND PARK, KS
(38.896301, -94.667876)",FALSE,"Not Available"
"IROQUOIS MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,WATSEKA,60970,2,IROQUOIS,"200 FAIRMAN STREET
WATSEKA, IL
(40.765541, -87.732666)",TRUE,"Same as the national average"
"SAMUEL MAHELONA MEMORIAL HOSPITAL","Government - State","Critical Access Hospitals",HI,KAPAA,96746,"Not Available",KAUAI,"4800 KAWAIHAU ROAD
KAPAA, HI
(22.087619, -159.314204)",TRUE,"Not Available"
"PRESENCE SAINT FRANCIS HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",IL,EVANSTON,60202,2,COOK,"355 RIDGE AVE
EVANSTON, IL
(42.023956, -87.685159)",FALSE,"Below the national average"
"OWENSBORO HEALTH REGIONAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",KY,OWENSBORO,42303,3,DAVIESS,"1201 PLEASANT VALLEY ROAD
OWENSBORO, KY
(37.777296, -87.069958)",TRUE,"Same as the national average"
"COLUMBUS REGIONAL HOSPITAL","Government - Local","Acute Care Hospitals",IN,COLUMBUS,47201,4,BARTHOLOMEW,"2400 E 17TH ST
COLUMBUS, IN
(39.215872, -85.896854)",TRUE,"Same as the national average"
"BAPTIST HEALTH FLOYD","Government - Local","Acute Care Hospitals",IN,"NEW ALBANY",47150,2,FLOYD,"1850 STATE ST
NEW ALBANY, IN
(38.300506, -85.83508)",TRUE,"Same as the national average"
"UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS","Voluntary non-profit - Other","Acute Care Hospitals",MD,BALTIMORE,21201,"Not Available","BALTIMORE CITY","827 LINDEN AVENUE
BALTIMORE, MD
(39.300389, -76.62086)",TRUE,"Not Available"
"SAINT FRANCIS MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",IL,PEORIA,61637,3,PEORIA,"530 NE GLEN OAK AVE
PEORIA, IL
(40.70222, -89.59106)",TRUE,"Above the national average"
"HAMILTON MEMORIAL HOSPITAL DISTRICT","Government - Hospital District or Authority","Critical Access Hospitals",IL,MCLEANSBORO,62859,2,HAMILTON,"611 S MARSHALL AVENUE
MCLEANSBORO, IL
(38.087565, -88.541243)",TRUE,"Same as the national average"
"CALDWELL MEMORIAL HOSPITAL, INC",Proprietary,"Acute Care Hospitals",LA,COLUMBIA,71418,4,CALDWELL,"411 MAIN STREET
COLUMBIA, LA
(32.104142, -92.076155)",FALSE,"Above the national average"
"UNITY POINT HEALTH TRINITY","Voluntary non-profit - Private","Acute Care Hospitals",IA,BETTENDORF,52722,3,SCOTT,"4500 UTICA RIDGE ROAD
BETTENDORF, IA
(41.566105, -90.51736)",TRUE,"Same as the national average"
"SCHNECK MEDICAL CENTER","Government - Local","Acute Care Hospitals",IN,SEYMOUR,47274,5,JACKSON,"411 W TIPTON ST
SEYMOUR, IN
(38.956734, -85.891356)",TRUE,"Above the national average"
"FAIRFIELD MEMORIAL HOSPITAL 1","Voluntary non-profit - Private","Critical Access Hospitals",IL,FAIRFIELD,62837,4,WAYNE,"303 N W 11TH STREET
FAIRFIELD, IL
(38.381637, -88.374422)",TRUE,"Above the national average"
"OCHSNER MEDICAL CENTER - BATON ROUGE","Voluntary non-profit - Private","Acute Care Hospitals",LA,"BATON ROUGE",70816,4,"EAST BATON ROUGE","17000 MEDICAL CENTER DR
BATON ROUGE, LA
(30.440994, -91.001513)",TRUE,"Same as the national average"
"ABRAHAM LINCOLN MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",IL,LINCOLN,62656,4,LOGAN,"200 STAHLHUT DRIVE
LINCOLN, IL
(40.152373, -89.388698)",TRUE,"Above the national average"
"CALAIS REGIONAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",ME,CALAIS,4619,4,WASHINGTON,"24 HOSPITAL LANE
CALAIS, ME
(45.180639, -67.270521)",TRUE,"Same as the national average"
"FRANCISCAN HEALTH MICHIGAN CITY","Voluntary non-profit - Church","Acute Care Hospitals",IN,"MICHIGAN CITY",46360,3,"LA PORTE","301 W HOMER ST
MICHIGAN CITY, IN
(41.706374, -86.899847)",TRUE,"Same as the national average"
"MEMORIAL HOSPITAL","Government - Local","Acute Care Hospitals",IN,LOGANSPORT,46947,3,CASS,"1101 MICHIGAN AVE
LOGANSPORT, IN
(40.762465, -86.361246)",TRUE,"Same as the national average"
"SUMNER COUNTY HOSPITAL DISTRICT NO 1","Government - Hospital District or Authority","Critical Access Hospitals",KS,CALDWELL,67022,"Not Available",SUMNER,"601 SOUTH OSAGE STREET
CALDWELL, KS
(37.02628, -97.609616)",TRUE,"Not Available"
"HENRY COUNTY HEALTH CENTER","Government - Local","Critical Access Hospitals",IA,"MOUNT PLEASANT",52641,3,HENRY,"407 S WHITE ST
MOUNT PLEASANT, IA
(40.963116, -91.558018)",TRUE,"Above the national average"
"PINEVILLE COMMUNITY HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",KY,PINEVILLE,40977,4,BELL,"850 RIVERVIEW AVENUE
PINEVILLE, KY
(36.763077, -83.708574)",TRUE,"Same as the national average"
"TRINITY ROCK ISLAND","Voluntary non-profit - Other","Acute Care Hospitals",IL,"ROCK ISLAND",61201,2,"ROCK ISLAND","2701 17TH ST
ROCK ISLAND, IL
(41.483649, -90.572799)",TRUE,"Below the national average"
"FRANKLIN FOUNDATION HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",LA,FRANKLIN,70538,"Not Available","SAINT MARY","1097 NORTHWEST BLVD
FRANKLIN, LA
(29.80187, -91.525272)",TRUE,"Not Available"
"SAINT ALPHONSUS REGIONAL MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",ID,BOISE,83706,3,ADA,"1055 NORTH CURTIS ROAD
BOISE, ID
(43.614072, -116.253622)",TRUE,"Below the national average"
"REDINGTON FAIRVIEW GENERAL HOSPITAL","Voluntary non-profit - Other","Critical Access Hospitals",ME,SKOWHEGAN,4976,4,SOMERSET,"46 FAIRVIEW AVE PO BOX 468
SKOWHEGAN, ME
(44.758336, -69.713495)",TRUE,"Above the national average"
"GENESIS MEDICAL CENTER-DEWITT","Voluntary non-profit - Private","Critical Access Hospitals",IA,DEWITT,52742,"Not Available",CLINTON,"1118 11TH STREET
DEWITT, IA
(41.82594, -90.546257)",TRUE,"Not Available"
"FLOYD COUNTY MEDICAL CENTER","Voluntary non-profit - Other","Critical Access Hospitals",IA,"CHARLES CITY",50616,4,FLOYD,"800 11TH ST
CHARLES CITY, IA
(43.052663, -92.683613)",TRUE,"Above the national average"
"BAPTIST HEALTH LOUISVILLE","Voluntary non-profit - Private","Acute Care Hospitals",KY,LOUISVILLE,40207,4,JEFFERSON,"4000 KRESGE WAY
LOUISVILLE, KY
(38.239235, -85.639048)",TRUE,"Above the national average"
"THE UNIVERSITY OF CHICAGO MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",IL,CHICAGO,60637,3,COOK,"5841 SOUTH MARYLAND
CHICAGO, IL
(41.787956, -87.604925)",TRUE,"Above the national average"
"HALLMARK HEALTH SYSTEM","Voluntary non-profit - Private","Acute Care Hospitals",MA,MELROSE,2176,3,MIDDLESEX,"585 LEBANON STREET
MELROSE, MA
(42.460055, -71.06193)",TRUE,"Same as the national average"
"HUTCHINSON REGIONAL MEDICAL CENTER INC",Proprietary,"Acute Care Hospitals",KS,HUTCHINSON,67502,2,RENO,"1701 E 23RD AVENUE
HUTCHINSON, KS
(38.079485, -97.892275)",TRUE,"Below the national average"
"BAPTIST HEALTH RICHMOND","Voluntary non-profit - Private","Acute Care Hospitals",KY,RICHMOND,40475,3,MADISON,"801 EASTERN BYPASS
RICHMOND, KY
(37.73176, -84.293078)",TRUE,"Same as the national average"
"POLK MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",GA,CEDARTOWN,30125,"Not Available",POLK,"2360 ROCKMART HIGHWAY
CEDARTOWN, GA
(34.015375, -85.196929)",TRUE,"Not Available"
"ST MARY'S HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",ID,COTTONWOOD,83522,4,IDAHO,"701 LEWISTON ST
COTTONWOOD, ID
(46.050371, -116.351645)",TRUE,"Above the national average"
"FRANCISCAN ST JAMES HEALTH",Proprietary,"Acute Care Hospitals",IL,"OLYMPIA FIELDS",60461,1,COOK,"20201 S CRAWFORD AVENUE
OLYMPIA FIELDS, IL
(41.522571, -87.713245)",TRUE,"Below the national average"
"ST MARTIN HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",LA,"BREAUX BRIDGE",70517,"Not Available","SAINT MARTIN","210 CHAMPAGNE BOULEVARD
BREAUX BRIDGE, LA
(30.282812, -91.890851)",TRUE,"Not Available"
"CASSIA REGIONAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",ID,BURLEY,83318,3,CASSIA,"1501 HILAND AVENUE
BURLEY, ID
(42.534204, -113.783419)",TRUE,"Same as the national average"
"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","Voluntary non-profit - Private","Acute Care Hospitals",IN,ANDERSON,46011,4,MADISON,"1515 N MADISON AVE
ANDERSON, IN
(40.130781, -85.691569)",TRUE,"Above the national average"
"FERRELL HOSPITAL COMMUNITY FOUNDATIONS","Voluntary non-profit - Private","Critical Access Hospitals",IL,ELDORADO,62930,3,SALINE,"1201 PINE STREET
ELDORADO, IL
(37.815198, -88.441448)",TRUE,"Same as the national average"
"INLAND HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",ME,WATERVILLE,4901,4,KENNEBEC,"200 KENNEDY MEMORIAL DRIVE
WATERVILLE, ME
(44.54269, -69.661405)",TRUE,"Above the national average"
"CLAY COUNTY MEDICAL CENTER","Government - Local","Critical Access Hospitals",KS,"CLAY CENTER",67432,3,CLAY,"617 LIBERTY
CLAY CENTER, KS
(39.391681, -97.124196)",TRUE,"Same as the national average"
"GOOD SAMARITAN HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",IN,VINCENNES,47591,3,KNOX,"520 S 7TH ST
VINCENNES, IN
(38.673758, -87.532591)",TRUE,"Above the national average"
"PAUL B HALL REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",KY,PAINTSVILLE,41240,3,JOHNSON,"625 JAMES S TRIMBLE BOULEVARD
PAINTSVILLE, KY
(37.815015, -82.812803)",TRUE,"Below the national average"
"MADISON MEMORIAL HOSPITAL","Government - Local","Acute Care Hospitals",ID,REXBURG,83440,3,MADISON,"450 EAST MAIN STREET
REXBURG, ID
(43.826053, -111.773286)",TRUE,"Above the national average"
"KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN","Voluntary non-profit - Private",Childrens,HI,HONOLULU,96826,"Not Available",HONOLULU,"1319 PUNAHOU STREET
HONOLULU, HI
(21.300394, -157.834243)",TRUE,"Not Available"
"HAMMOND HENRY HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",IL,GENESEO,61254,4,HENRY,"600 N COLLEGE AVENUE
GENESEO, IL
(41.460674, -90.158405)",TRUE,"Above the national average"
"ST LUKE'S ELMORE MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",ID,"MOUNTAIN HOME",83647,4,ELMORE,"895 NORTH 6TH EAST
MOUNTAIN HOME, ID
(43.138341, -115.692485)",TRUE,"Same as the national average"
"VISTA MEDICAL CENTER EAST","Voluntary non-profit - Other","Acute Care Hospitals",IL,WAUKEGAN,60085,3,LAKE,"1324 NORTH SHERIDAN ROAD
WAUKEGAN, IL
(42.378264, -87.830964)",TRUE,"Below the national average"
"ADAIR COUNTY MEMORIAL HOSPITAL","Government - Local","Critical Access Hospitals",IA,GREENFIELD,50849,"Not Available",ADAIR,"609 SE KENT
GREENFIELD, IA
(41.303095, -94.451864)",TRUE,"Not Available"
"HOLYOKE MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",MA,HOLYOKE,1040,2,HAMPDEN,"575 BEECH STREET
HOLYOKE, MA
(42.199616, -72.627087)",TRUE,"Same as the national average"
"UNITY MEDICAL AND SURGICAL HOSPITAL",Proprietary,"Acute Care Hospitals",IN,MISHAWAKA,46545,"Not Available","ST JOSEPH","4455 EDISON LAKES PKWY
MISHAWAKA, IN
(41.700723, -86.176781)",FALSE,"Above the national average"
"NEMAHA VALLEY COMMUNITY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",KS,SENECA,66538,"Not Available",NEMAHA,"1600 COMMUNITY DR
SENECA, KS
(39.837849, -96.07789)",TRUE,"Not Available"
"NORTHWESTERN LAKE FOREST HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",IL,"LAKE FOREST",60045,3,LAKE,"660 N WESTMORELAND ROAD
LAKE FOREST, IL
(42.252748, -87.862974)",TRUE,"Same as the national average"
"KATHERINE SHAW BETHEA HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,DIXON,61021,3,LEE,"403 E 1ST ST
DIXON, IL
(41.84423, -89.480131)",TRUE,"Same as the national average"
"RINGGOLD COUNTY HOSPITAL","Government - Local","Critical Access Hospitals",IA,"MOUNT AYR",50854,"Not Available",RINGGOLD,"504 NORTH CLEVELAND STREET
MOUNT AYR, IA
(40.71833, -94.223613)",TRUE,"Not Available"
"VETERANS MEMORIAL HOSPITAL","Government - Local","Critical Access Hospitals",IA,WAUKON,52172,"Not Available",ALLAMAKEE,"40 1ST STREET SE
WAUKON, IA
(43.268092, -91.474446)",TRUE,"Not Available"
"PALOS COMMUNITY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,"PALOS HEIGHTS",60463,4,COOK,"12251 SOUTH 80TH AVENUE
PALOS HEIGHTS, IL
(41.668955, -87.815976)",TRUE,"Above the national average"
"PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO","Voluntary non-profit - Church","Acute Care Hospitals",IL,CHICAGO,60657,2,COOK,"2900 NORTH LAKE SHORE DRIVE
CHICAGO, IL
(41.933928, -87.636418)",TRUE,"Below the national average"
"CORNERSTONE MEDICAL CENTER",Proprietary,"Acute Care Hospitals",GA,"FORT OGLETHORP",30742,"Not Available",CATOOSA,"100 GROSS CRESCENT CIRCLE
FORT OGLETHORP, GA
(34.94777, -85.262756)",TRUE,"Not Available"
"FHN MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,FREEPORT,61032,3,STEPHENSON,"1045 WEST STEPHENSON STREET
FREEPORT, IL
(42.295894, -89.637947)",TRUE,"Same as the national average"
"LOURDES HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",KY,PADUCAH,42003,2,MCCRACKEN,"1530 LONE OAK ROAD
PADUCAH, KY
(37.052989, -88.647857)",TRUE,"Below the national average"
"RUSH UNIVERSITY MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",IL,CHICAGO,60612,4,COOK,"1653 WEST CONGRESS PARKWAY
CHICAGO, IL
(41.875166, -87.66851)",TRUE,"Above the national average"
"MANNING REGIONAL HEALTHCARE CENTER","Voluntary non-profit - Private","Critical Access Hospitals",IA,MANNING,51455,"Not Available",CARROLL,"1550 SIXTH STREET
MANNING, IA
(41.906651, -95.0745)",TRUE,"Not Available"
"PARKVIEW REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",IN,"FORT WAYNE",46845,4,ALLEN,"11109 PARKVIEW PLAZA DRIVE
FORT WAYNE, IN
(41.187063, -85.09946)",TRUE,"Above the national average"
"SPENCER MUNICIPAL HOSPITAL","Government - Local","Acute Care Hospitals",IA,SPENCER,51301,4,CLAY,"1200 1ST AVENUE EAST
SPENCER, IA
(43.150009, -95.143842)",TRUE,"Above the national average"
"WEST JEFFERSON MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",LA,MARRERO,70072,4,JEFFERSON,"1101 MEDICAL CENTER BLVD
MARRERO, LA
(29.891749, -90.095886)",TRUE,"Same as the national average"
"EDWARDS COUNTY HOSPITAL","Government - Local","Critical Access Hospitals",KS,KINSLEY,67547,"Not Available",EDWARDS,"620 WEST EIGHTH STREET
KINSLEY, KS
(37.920715, -99.419431)",TRUE,"Not Available"
"BEVERLY HOSPITAL CORPORATION","Voluntary non-profit - Private","Acute Care Hospitals",MA,BEVERLY,1915,4,ESSEX,"85 HERRICK STREET
BEVERLY, MA
(42.565302, -70.877222)",TRUE,"Below the national average"
"MEADE DISTRICT HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",KS,MEADE,67864,"Not Available",MEADE,"510 EAST CARTHAGE
MEADE, KS
(37.28549, -100.334267)",TRUE,"Not Available"
"MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,BELLEVILLE,62226,4,"SAINT CLAIR","4500 MEMORIAL DRIVE
BELLEVILLE, IL
(38.550533, -90.021168)",TRUE,"Same as the national average"
"JEWISH HOSPITAL & ST MARY'S HEALTHCARE","Voluntary non-profit - Private","Acute Care Hospitals",KY,LOUISVILLE,40202,2,JEFFERSON,"200 ABRAHAM FLEXNER WAY
LOUISVILLE, KY
(38.249328, -85.751137)",TRUE,"Below the national average"
"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH","Government - Hospital District or Authority","Critical Access Hospitals",GA,BYRON,31008,3,PEACH,"1960 HIGHWAY 247 CONNECTOR
BYRON, GA
(32.606567, -83.758349)",TRUE,"Not Available"
"MOUNTAIN LAKES MEDICAL CENTER",Proprietary,"Critical Access Hospitals",GA,CLAYTON,30525,"Not Available",RABUN,"196 RIDGECREST CIRCLE
CLAYTON, GA
(34.884602, -83.416395)",TRUE,"Not Available"
"WEST CARROLL MEMORIAL HOSPITAL",Proprietary,"Acute Care Hospitals",LA,"OAK GROVE",71263,3,"WEST CARROLL","706 ROSS STREET
OAK GROVE, LA
(32.867813, -91.383196)",TRUE,"Same as the national average"
"VILLA FELICIANA MEDICAL COMPLEX","Government - State","Acute Care Hospitals",LA,JACKSON,70748,"Not Available","EAST FELICIANA","5002 HIGHWAY 10
JACKSON, LA
(30.829622, -91.157855)",FALSE,"Not Available"
"SOUTHERN REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",GA,RIVERDALE,30274,2,CLAYTON,"11 UPPER RIVERDALE ROAD, SW
RIVERDALE, GA
(33.577524, -84.390432)",TRUE,"Below the national average"
"MANHATTAN SURGICAL HOSPITAL LLC",Physician,"Acute Care Hospitals",KS,MANHATTAN,66502,"Not Available",RILEY,"1829 COLLEGE AVENUE
MANHATTAN, KS
(39.20296, -96.598184)",FALSE,"Above the national average"
"CENTRAL IOWA HEALTHCARE","Voluntary non-profit - Private","Acute Care Hospitals",IA,MARSHALLTOWN,50158,3,MARSHALL,"3 S 4TH AVE
MARSHALLTOWN, IA
(42.04805, -92.905914)",TRUE,"Not Available"
"LOYOLA UNIVERSITY MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",IL,MAYWOOD,60153,2,COOK,"2160 S 1ST AVENUE
MAYWOOD, IL
(41.858732, -87.83321)",TRUE,"Same as the national average"
"GREAT RIVER MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",IA,"WEST BURLINGTON",52655,2,"DES MOINES","1221 SOUTH GEAR AVENUE
WEST BURLINGTON, IA
(40.807369, -91.170278)",TRUE,"Below the national average"
"AVOYELLES HOSPITAL",Proprietary,"Acute Care Hospitals",LA,MARKSVILLE,71351,3,AVOYELLES,"4231 HIGHWAY 1192
MARKSVILLE, LA
(31.143135, -92.064435)",TRUE,"Same as the national average"
"ST VINCENT MERCY HOSPITAL","Voluntary non-profit - Church","Critical Access Hospitals",IN,ELWOOD,46036,"Not Available",MADISON,"1331 S A ST
ELWOOD, IN
(40.27602, -85.844005)",TRUE,"Not Available"
"SHERIDAN COUNTY HOSPITAL","Government - Local","Critical Access Hospitals",KS,HOXIE,67740,"Not Available",SHERIDAN,"826 18TH STREET
HOXIE, KS
(39.354188, -100.432735)",TRUE,"Not Available"
"MONROE COUNTY HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",GA,FORSYTH,31029,"Not Available",MONROE,"88 MARTIN LUTHER KING JR DRIVE
FORSYTH, GA
(33.031981, -83.946494)",TRUE,"Not Available"
"UNIVERSITY MEDICAL CENTER NEW ORLEANS","Voluntary non-profit - Private","Acute Care Hospitals",LA,"NEW ORLEANS",70112,2,ORLEANS,"2000 CANAL STREET
NEW ORLEANS, LA
(29.961113, -90.080941)",TRUE,"Below the national average"
"CHI HEALTH MERCY COUNCIL BLUFFS","Voluntary non-profit - Private","Acute Care Hospitals",IA,"COUNCIL BLUFFS",51503,3,POTTAWATTAMIE,"800 MERCY DRIVE
COUNCIL BLUFFS, IA
(41.269636, -95.838201)",TRUE,"Same as the national average"
"CHILDREN'S MERCY HOSPITAL KANSAS","Voluntary non-profit - Private",Childrens,KS,"OVERLAND PARK",66211,"Not Available",JOHNSON,"5808 W 110TH STREET
OVERLAND PARK, KS
(38.929326, -94.65354)",FALSE,"Not Available"
"TWIN LAKES REGIONAL MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",KY,LEITCHFIELD,42754,4,GRAYSON,"910 WALLACE AVENUE
LEITCHFIELD, KY
(37.471947, -86.287038)",TRUE,"Same as the national average"
"ST ELIZABETH GRANT","Voluntary non-profit - Church","Critical Access Hospitals",KY,WILLIAMSTOWN,41097,3,GRANT,"238 BARNES ROAD
WILLIAMSTOWN, KY
(38.647988, -84.577998)",TRUE,"Not Available"
"ABROM KAPLAN MEMORIAL HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",LA,KAPLAN,70548,"Not Available",VERMILION,"1310 WEST SEVENTH STREET
KAPLAN, LA
(30.007591, -92.297337)",TRUE,"Not Available"
"MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS","Government - Local","Critical Access Hospitals",KS,BELOIT,67420,3,MITCHELL,"400 W 8TH STREET, P O BOX 399
BELOIT, KS
(39.466499, -98.114235)",TRUE,"Above the national average"
"KAU HOSPITAL","Government - State","Critical Access Hospitals",HI,PAHALA,96777,"Not Available",HAWAII,"1 KAMANI STREET
PAHALA, HI
(19.200571, -155.472097)",TRUE,"Not Available"
"PHILLIPS COUNTY HEALTH SYSTEMS","Government - Local","Critical Access Hospitals",KS,PHILLIPSBURG,67661,"Not Available",PHILLIPS,"1150 STATE STREET
PHILLIPSBURG, KS
(39.755862, -99.313583)",TRUE,"Not Available"
"MORGAN COUNTY ARH HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",KY,"WEST LIBERTY",41472,"Not Available",MORGAN,"476 LIBERTY ROAD
WEST LIBERTY, KY
(37.920137, -83.266276)",TRUE,"Not Available"
"MERCY HOSPITAL COLUMBUS","Voluntary non-profit - Church","Critical Access Hospitals",KS,COLUMBUS,66725,"Not Available",CHEROKEE,"220 N PENNSYLVANIA AVENUE
COLUMBUS, KS
(37.172064, -94.843805)",TRUE,"Not Available"
"DEKALB HEALTH","Voluntary non-profit - Private","Acute Care Hospitals",IN,AUBURN,46706,3,"DE KALB","1316 E SEVENTH ST
AUBURN, IN
(41.367669, -85.035573)",TRUE,"Above the national average"
"MARSHALL COUNTY HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",KY,BENTON,42025,3,MARSHALL,"615 OLD SYMSONIA ROAD
BENTON, KY
(36.868182, -88.368072)",TRUE,"Above the national average"
